Table 4,,,,,,,,,,,,,,,
January to June 2012-2013,,,,,,,,,,,,,,,
Offenses Reported to Law Enforcement ,,,,,,,,,,,,,,,
"by State by City 100,000 and over in population",,,,,,,,,,,,,,,
State,City,,Population1,"Violent
crime",Murder,Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
ALABAMA,BIRMINGHAM3,2012,"213,266",,,,,,,,,,,,
,,2013,,"1,468",39,79,455,895,"6,357","1,942","3,964",451,,,
,HUNTSVILLE,2012,"183,691",813,1,46,231,535,"4,606","1,095","3,136",375,10,,
,,2013,,793,12,22,208,551,"4,347",893,"3,149",305,,,
,"MOBILE3, 4",2012,"251,516",,,,,,,,,,,,
,,2013,,725,11,14,195,505,"6,032","1,459","4,270",303,,,
,MONTGOMERY,2012,"209,018",315,12,13,150,140,"4,461","1,127","2,968",366,30,,
,,2013,,374,25,22,178,149,"4,361",984,"3,000",377,,,
ALASKA,ANCHORAGE5,2012,"299,143","1,217",11,145,234,827,"4,871",503,"4,009",359,47,,
,,2013,,"1,200",9,199,240,752,"5,571",591,"4,583",397,33,,
ARIZONA,CHANDLER6   ,2012,"242,721",315,2,37,72,204,"3,412",513,"2,765",134,27,,
,,2013,,291,0,23,83,185,"2,923",495,"2,318",110,36,,
,GILBERT5,2012,"214,264",103,4,9,25,65,"1,707",325,"1,286",96,14,,
,,2013,,102,1,6,23,72,"1,585",302,"1,216",67,14,,
,GLENDALE,2012,"232,997",566,7,25,201,333,"7,107","1,441","5,010",656,49,,
,,2013,,479,6,28,182,263,"6,811","1,240","5,103",468,34,,
,MESA ,2012,"451,391",889,8,85,257,539,"7,045","1,291","5,334",420,46,,
,,2013,,877,14,91,236,536,"6,414","1,171","4,759",484,74,,
,PEORIA,2012,"158,347",152,5,7,39,101,"2,444",516,"1,768",160,6,,
,,2013,,143,4,12,35,92,"1,995",338,"1,545",112,3, ,
,PHOENIX7 ,2012,"1,485,509","4,451",61,263,"1,716","2,411","29,394","8,560","17,262","3,572",159,,
,,2013,,,52,322,"1,714",,"29,754","8,515","18,065","3,174",135,,
,SCOTTSDALE,2012,"223,432",149,2,18,51,78,"3,022",602,"2,300",120,20,, 
,,2013,,190,2,29,49,110,"2,842",550,"2,193",99,10,,
,SURPRISE,2012,"120,793",78,1,4,27,46,"1,359",313,981,65,7,,
,,2013,,74,0,8,28,38,"1,050",187,788,75,4,,
,TEMPE     ,2012,"166,061",446,9,28,125,284,"3,857",570,"3,048",239,15,,
,,2013,,404,2,32,111,259,"3,834",692,"2,898",244,30,,
,"TUCSON6, 8",2012,"531,535","1,867",20,127,587,"1,133",,"2,344",,"1,259",94,,
,,2013,,"1,689",23,103,508,"1,055","17,071","2,524","13,384","1,163",85,,
ARKANSAS5,LITTLE ROCK,2012,"196,055","1,230",21,72,338,799,"7,483","1,971","4,994",518,46,,
,,2013,,"1,255",18,55,404,778,"7,453","1,852","5,012",589,51,,
CALIFORNIA,ANAHEIM,2012,"344,526",605,8,47,216,334,"4,901",725,"3,400",776,12,,
,,2013,,614,6,39,237,332,"5,111",784,"3,536",791,16,,
,ANTIOCH,2012,"105,009",517,4,16,175,322,"2,487",889,"1,023",575,17,,
,,2013,,497,7,6,177,307,"2,071",721,892,458,30,,
,BAKERSFIELD,2012,"355,696",917,16,21,310,570,"8,351","2,237","4,618","1,496",114,,
,,2013,,934,13,27,335,559,"8,327","2,191","4,741","1,395",111,,
,BERKELEY,2012,"114,961",259,3,18,178,60,"2,657",434,"1,903",320,6,,
,,2013,,299,1,16,221,61,"2,621",474,"1,855",292,8,,
,BURBANK,2012,"105,057",117,0,13,60,44,"1,221",167,962,92,6,,
,,2013,,96,0,10,31,55,"1,180",158,912,110,4,,
,CARLSBAD,2012,"107,879",137,0,15,18,104,983,237,685,61,3,,
,,2013,,105,0,10,23,72,"1,064",279,723,62,8,,
,CHULA VISTA,2012,"249,830",283,5,16,112,150,"2,429",433,"1,502",494,14,,
,,2013,,298,2,19,124,153,"2,668",495,"1,786",387,28,,
,CONCORD,2012,"125,205",204,0,13,80,111,"1,929",414,"1,244",271,9,,
,,2013,,214,1,5,80,128,"1,977",421,"1,279",277,5,,
,CORONA ,2012,"157,342",107,0,6,52,49,"1,939",365,"1,353",221,6,,
,,2013,,91,6,5,36,44,"1,636",301,"1,103",232,4,,
,COSTA MESA ,2012,"112,635",130,0,14,43,73,"1,850",335,"1,353",162,13,,
,,2013,,114,0,20,44,50,"1,713",237,"1,321",155,6,,
